customer_id,credit_score,total_debt,total_active_loans,default_risk,shopping_category_most_frequent
C00162,614,372,3,Low,Fashion
C00163,656,56,1,Low,Home/Furniture
C00164,710,266,4,Low,Electronics
C00165,708,153,1,Low,Fashion
C00166,746,127,1,Low,Home/Furniture
C00167,647,0,0,Low,Electronics
C00168,645,387,2,Low,Fashion
C00169,558,0,0,Low,Travel
C00170,677,375,3,Low,Electronics
C00171,610,614,4,Low,Fashion
C00172,594,196,2,Low,Fashion
C00174,695,596,4,Low,Fashion
C00175,632,502,2,Low,Electronics
C00176,603,215,2,Low,Home/Furniture
C00177,719,76,1,Low,Travel
C00178,649,262,2,Low,Electronics
C00179,640,170,3,Low,Electronics
C00180,709,94,1,Low,Fashion
C00181,663,480,5,Low,Electronics
C00182,742,110,1,Low,Fashion
C00184,676,676,3,Low,Fashion
C00185,505,1027,5,High,Electronics
C00186,654,382,2,Low,Fashion
C00187,671,88,1,Low,Home/Furniture
C00188,745,82,1,Low,Electronics
C00189,617,346,3,Low,Fashion
C00190,723,151,1,Low,Electronics
C00191,699,0,0,Low,Groceries/Essentials
C00192,776,531,2,Low,Fashion
C00193,615,764,5,Low,Fashion
C00194,640,618,5,Low,Home/Furniture
C00195,724,167,1,Low,Travel
C00196,621,145,1,Low,Home/Furniture
C00197,744,0,0,Low,Travel
C00198,696,131,2,Low,Travel
C00199,594,138,1,Low,Fashion
C00200,619,443,2,Low,Home/Furniture
C00201,685,376,3,Low,Fashion
C00202,704,158,1,Low,Fashion
C00204,665,131,1,Low,Travel
C00205,516,0,0,Low,Fashion
C00207,596,376,2,Low,Electronics
C00208,608,375,2,Low,Home/Furniture
C00209,625,666,3,Medium,Electronics
C00210,766,141,1,Low,Fashion
C00212,555,0,0,Low,Electronics
C00213,716,297,3,Low,Fashion
C00214,628,135,1,Low,Fashion
C00215,596,106,1,Low,Home/Furniture
C00216,737,273,4,Low,Travel
C00217,783,418,4,Low,Travel
C00218,692,265,3,Low,Electronics
C00219,621,999,5,High,Home/Furniture
C00220,417,471,2,High,Travel
C00222,646,819,4,Medium,Fashion
C00223,693,135,2,Low,Travel
C00224,749,438,3,Low,Fashion
C00225,595,277,3,Low,Electronics
C00226,604,212,2,Low,Fashion
C00227,767,640,3,Low,Fashion
C00228,730,129,1,Low,Fashion
C00229,690,88,1,Low,Fashion
C00230,594,227,3,Low,Travel
C00231,728,445,3,Low,Electronics
C00232,533,377,2,Medium,Travel
C00233,679,146,1,Low,Electronics
C00234,713,404,2,Low,Home/Furniture
C00236,704,591,3,Medium,Electronics
C00237,664,283,3,Low,Electronics
C00238,661,825,4,Low,Electronics
C00239,735,449,2,Low,Electronics
C00240,765,109,1,Low,Home/Furniture
C00241,667,316,2,Low,Fashion
C00242,678,460,2,Low,Travel
C00243,712,420,2,Low,Home/Furniture
C00244,628,0,0,Low,Travel
C00245,779,339,2,Low,Travel
C00246,675,430,3,Low,Fashion
C00247,549,416,2,Low,Electronics
C00248,572,113,1,Low,Electronics
C00249,617,278,2,Low,Fashion
C00250,646,193,1,Low,Fashion
C00251,699,326,3,Low,Fashion
C00252,725,385,2,Low,Electronics
C00254,527,315,3,Low,Travel
C00255,637,107,1,Low,Fashion
C00256,635,181,1,Low,Electronics
C00257,463,146,1,Low,Electronics
C00258,604,240,2,Low,Home/Furniture
C00259,742,74,1,Low,Travel
C00260,739,1066,5,Low,Travel
C00261,692,304,2,Low,Fashion
C00262,731,0,0,Low,Home/Furniture
C00265,850,130,1,Low,Electronics
C00266,738,164,1,Low,Electronics
C00267,768,643,3,Low,Groceries/Essentials
C00268,650,0,0,Low,Travel
C00269,571,574,5,Medium,Fashion
C00270,716,0,0,Low,Electronics
C00271,706,121,2,Low,Electronics
C00272,785,0,0,Low,Electronics
C00273,664,149,1,Low,Home/Furniture
C00274,709,164,1,Low,Fashion
C00275,500,0,0,Low,Home/Furniture
C00276,535,641,3,High,Electronics
C00277,766,818,3,Low,Electronics
C00278,788,315,3,Low,Home/Furniture
C00279,621,1169,6,Medium,Home/Furniture
C00280,739,673,4,Low,Electronics
C00281,817,574,3,Low,Electronics
C00282,677,167,1,Low,Fashion
C00283,704,247,3,Low,Home/Furniture
C00284,710,350,2,Medium,Home/Furniture
C00285,808,175,1,Low,Home/Furniture
C00286,668,0,0,Low,Fashion
C00287,588,190,1,Low,Home/Furniture
C00288,641,380,2,Low,Electronics
C00289,748,809,4,Low,Groceries/Essentials
C00290,718,72,1,Low,Fashion
C00292,791,74,1,Low,Electronics
C00293,727,452,2,Low,Home/Furniture
C00294,816,743,4,Low,Fashion
C00295,726,191,1,Low,Fashion
C00297,693,332,4,Low,Fashion
C00298,606,150,1,Low,Home/Furniture
C00299,746,0,0,Low,Fashion
C00300,808,228,2,Low,Fashion
C00302,592,138,1,Low,Fashion
C00303,657,481,3,Low,Fashion
C00304,725,352,2,Low,Home/Furniture
C00305,712,400,3,Low,Home/Furniture
C00306,738,408,2,Low,Fashion
C00307,769,605,3,Low,Home/Furniture
C00308,620,134,1,Low,Fashion
C00309,708,212,1,Low,Home/Furniture
C00310,579,164,1,Low,Groceries/Essentials
C00311,505,292,2,High,Travel
C00312,608,331,2,Low,Fashion
C00313,720,268,2,Low,Fashion
C00314,622,1344,8,Medium,Electronics
C00315,750,0,0,Low,Electronics
C00316,639,0,0,Low,Electronics
C00318,654,103,1,Low,Electronics
C00319,639,223,2,Low,Fashion
C00320,778,174,3,Low,Fashion
C00321,778,369,3,Low,Fashion
C00322,610,118,1,Low,Fashion
C00323,604,0,0,Low,Electronics
C00324,739,282,2,Low,Electronics
C00326,713,257,2,Low,Fashion
C00327,660,268,2,Low,Fashion
C00328,643,112,2,Low,Electronics
C00329,561,289,2,Low,Home/Furniture
C00330,610,873,7,Medium,Electronics
C00331,754,166,1,Low,Fashion
C00332,632,421,2,Low,Fashion
C00334,593,307,2,Low,Fashion
C00335,667,178,1,Low,Fashion
C00336,712,454,3,Low,Home/Furniture
C00337,704,344,2,Low,Home/Furniture
C00338,636,370,3,Low,Fashion
C00339,772,381,2,Low,Electronics
C00340,716,115,1,Low,Fashion
C00341,725,791,5,Low,Fashion
C00342,703,0,0,Low,Fashion
C00343,744,185,1,Low,Electronics
C00344,696,164,1,Low,Fashion
C00345,689,0,0,Low,Electronics
C00346,801,337,3,Low,Electronics
C00347,711,393,2,Low,Fashion
C00348,691,206,2,Low,Fashion
C00349,666,357,4,Low,Electronics
C00350,698,371,2,Low,Fashion
C00351,660,128,1,Low,Fashion
C00352,668,373,3,Low,Electronics
C00353,713,115,2,Low,Travel
C00354,679,542,3,Low,Fashion
C00355,644,572,3,Low,Electronics
C00356,658,147,1,Low,Groceries/Essentials
C00357,703,230,3,Low,Home/Furniture
C00358,726,194,1,Low,Electronics
C00359,658,177,1,Low,Fashion
C00360,684,226,1,Low,Home/Furniture
C00361,757,582,3,Low,Travel
C00362,673,235,6,Low,Electronics
C00363,721,698,7,Medium,Home/Furniture
C00364,742,312,2,Low,Electronics
C00365,644,335,3,Low,Home/Furniture
C00366,578,713,8,Medium,Electronics
C00367,659,229,1,Low,Home/Furniture
C00368,669,1012,6,Low,Home/Furniture
C00369,682,305,3,Low,Electronics
C00370,569,179,1,Low,Groceries/Essentials
C00371,691,556,5,High,Fashion
C00372,782,0,0,Low,Fashion
C00373,647,735,4,Medium,Electronics
C00374,734,75,1,Low,Electronics
C00375,624,0,0,Low,Electronics
C00376,564,0,0,Low,Fashion
C00377,781,0,0,Low,Travel
C00378,655,220,4,Low,Electronics
C00379,690,832,3,Low,Fashion
C00380,614,125,1,Low,Travel
C00381,746,0,0,Low,Electronics
C00382,686,99,1,Low,Groceries/Essentials
C00384,700,149,1,Low,Travel
C00385,595,316,2,Low,Home/Furniture
C00386,718,850,5,Low,Electronics
C00387,619,774,4,High,Electronics
C00389,736,0,0,Low,Electronics
C00390,643,643,4,Low,Fashion
C00392,611,211,1,Low,Fashion
C00393,686,395,2,Low,Groceries/Essentials
C00394,663,141,1,Low,Electronics
C00395,733,167,1,Low,Fashion
C00396,734,566,3,Low,Electronics
C00398,665,0,0,Low,Groceries/Essentials
C00399,656,1153,5,Low,Electronics
C00400,751,211,1,Low,Electronics
C00401,582,328,3,Low,Fashion
C00402,755,368,2,Low,Fashion
C00403,752,332,2,Low,Electronics
C00404,775,148,1,Low,Electronics
C00405,633,152,1,Low,Fashion
C00406,597,68,1,Low,Home/Furniture
C00407,706,163,1,Low,Fashion
C00408,506,148,1,Medium,Fashion
C00409,686,1049,5,Low,Travel
C00410,705,481,2,Low,Fashion
C00411,703,333,2,Low,Home/Furniture
C00412,711,137,1,Low,Travel
C00413,740,360,3,Low,Electronics
C00414,594,0,0,Low,Electronics
C00415,670,141,2,Low,Electronics
C00416,631,590,4,Low,Home/Furniture
C00418,724,277,2,Low,Groceries/Essentials
C00419,620,826,5,Low,Home/Furniture
C00420,565,333,2,Medium,Home/Furniture
C00421,734,90,3,Low,Fashion
C00422,764,178,2,Low,Home/Furniture
C00423,667,124,1,Low,Home/Furniture
C00425,701,164,1,Low,Fashion
C00426,672,193,1,Low,Fashion
C00427,485,913,3,High,Electronics
C00428,747,0,0,Low,Fashion
C00429,683,575,4,Low,Home/Furniture
C00430,518,206,2,Medium,Groceries/Essentials
C00431,635,451,3,Medium,Electronics
C00432,620,523,2,Low,Home/Furniture
C00433,646,148,1,Low,Travel
C00434,725,329,2,Low,Groceries/Essentials
C00435,659,411,4,Medium,Fashion
C00436,606,128,1,Low,Home/Furniture
C00437,641,292,3,Low,Home/Furniture
C00438,704,1024,5,Low,Fashion
C00439,800,518,3,Low,Fashion
C00440,704,234,1,Low,Electronics
C00441,620,891,4,Medium,Travel
C00442,745,313,2,Low,Electronics
C00443,743,394,2,Low,Home/Furniture
C00444,682,396,2,Low,Home/Furniture
C00445,733,130,1,Low,Electronics
C00446,712,732,3,Low,Fashion
C00447,705,242,2,Low,Fashion
C00448,704,1164,7,Low,Fashion
C00449,726,241,2,Low,Travel
C00450,711,838,5,Low,Fashion
C00451,828,0,0,Low,Home/Furniture
C00452,505,487,2,Medium,Fashion
C00453,688,127,1,Low,Groceries/Essentials
C00454,733,270,2,Low,Fashion
C00455,689,425,3,Low,Groceries/Essentials
C00456,738,655,3,Low,Home/Furniture
C00457,531,127,1,Low,Electronics
C00458,690,522,3,Low,Electronics
C00459,629,700,4,Low,Fashion
C00460,678,0,0,Low,Electronics
C00461,758,165,2,Low,Fashion
C00462,598,1149,5,High,Fashion
C00463,673,328,2,Low,Electronics
C00464,689,501,3,Low,Electronics
C00465,630,0,0,Low,Home/Furniture
C00466,431,0,0,Low,Home/Furniture
C00467,530,118,1,Low,Fashion
C00468,722,380,2,Low,Home/Furniture
C00469,702,191,2,Low,Electronics
C00470,683,208,2,Low,Electronics
C00471,592,231,1,Medium,Electronics
C00472,607,361,2,Low,Fashion
C00473,764,318,2,Low,Home/Furniture
C00474,696,1282,8,Low,Electronics
C00475,739,410,2,Low,Fashion
C00476,617,148,1,Low,Fashion
C00477,737,118,1,Low,Fashion
C00478,588,519,4,Low,Fashion
C00479,841,395,3,Low,Electronics
C00480,589,162,1,Low,Fashion
C00481,668,274,2,Low,Electronics
C00482,767,186,1,Low,Fashion
C00484,623,577,4,Low,Electronics
C00485,688,152,1,Low,Fashion
C00486,627,105,1,Low,Fashion
C00487,711,82,1,Low,Electronics
C00488,603,257,2,Low,Fashion
C00489,727,86,1,Low,Fashion
C00490,578,225,1,Low,Electronics
C00491,791,52,1,Low,Travel
C00492,657,156,1,Low,Fashion
C00493,675,533,3,Low,Home/Furniture
C00495,618,684,3,Medium,Fashion
C00496,723,356,3,Low,Electronics
C00497,744,614,3,Low,Fashion
C00498,779,1820,10,Low,Home/Furniture
C00499,735,191,2,Low,Fashion
C00500,661,235,2,Low,Groceries/Essentials
C00501,598,293,1,Low,Home/Furniture
C00502,621,129,1,Low,Travel
C00503,688,294,2,Low,Travel
C00504,732,585,5,Low,Groceries/Essentials
C00505,566,53,2,Low,Electronics
C00506,610,116,1,Low,Groceries/Essentials
C00507,612,330,2,Low,Electronics
C00508,661,338,4,Low,Electronics
C00509,749,0,0,Low,Fashion
C00510,742,1180,6,Low,Fashion
C00511,722,398,3,Low,Electronics
C00512,692,0,0,Low,Fashion
C00513,661,797,4,Low,Home/Furniture
C00514,691,520,3,Low,Electronics
C00515,767,439,3,Low,Fashion
C00517,730,145,1,Low,Electronics
C00518,572,407,2,Low,Fashion
C00519,608,0,0,Low,Electronics
C00520,695,655,4,Low,Home/Furniture
C00521,619,0,0,Low,Travel
C00522,621,0,0,Low,Fashion
C00523,835,504,3,Low,Fashion
C00524,728,275,2,Low,Electronics
C00525,735,151,2,Low,Electronics
C00526,797,192,1,Low,Fashion
C00527,662,138,1,Low,Fashion
C00528,686,520,3,Low,Electronics
C00529,715,447,3,Low,Fashion
C00530,767,0,0,Low,Travel
C00531,610,266,2,Low,Home/Furniture
C00532,556,215,2,Medium,Electronics
C00533,722,845,5,Low,Electronics
C00534,411,188,1,Medium,Fashion
C00535,639,0,0,Low,Home/Furniture
C00536,734,167,1,Low,Fashion
C00537,633,735,3,Low,Fashion
C00538,633,412,3,Medium,Travel
C00539,718,334,3,Low,Fashion
C00540,687,385,2,Low,Electronics
C00542,658,376,2,Low,Travel
C00543,603,485,4,Low,Fashion
C00544,700,2139,10,Low,Fashion
C00545,719,136,1,Low,Electronics
C00546,640,399,2,Low,Home/Furniture
C00547,661,480,2,Low,Electronics
C00548,676,0,0,Low,Home/Furniture
C00549,615,99,1,Low,Fashion
C00550,640,415,2,Low,Home/Furniture
C00551,715,101,1,Low,Fashion
C00552,681,185,1,Low,Electronics
C00553,721,129,1,Low,Electronics
C00554,652,113,1,Low,Home/Furniture
C00555,607,0,0,Low,Home/Furniture
C00556,627,344,2,Low,Groceries/Essentials
C00557,591,0,0,Low,Electronics
C00558,761,529,4,Low,Fashion
C00559,598,0,0,Low,Fashion
C00560,695,190,1,Low,Electronics
C00561,584,425,2,Medium,Electronics
C00562,716,466,2,Low,Fashion
C00563,721,402,2,Low,Fashion
C00564,720,293,4,Low,Travel
C00565,594,221,2,Low,Home/Furniture
C00566,632,152,1,Low,Fashion
C00567,720,403,3,Low,Electronics
C00568,572,106,1,Low,Fashion
C00569,705,617,3,Low,Fashion
C00570,503,576,4,Medium,Electronics
C00571,558,133,1,Low,Fashion
C00572,430,424,3,Medium,Home/Furniture
C00573,636,226,2,Low,Electronics
C00574,666,35,6,Low,Electronics
C00575,724,161,1,Low,Electronics
C00576,706,252,1,Low,Home/Furniture
C00577,678,148,1,Low,Electronics
C00578,584,43,2,Low,Home/Furniture
C00579,541,389,2,Low,Fashion
C00580,668,531,3,Low,Travel
C00581,768,523,3,Low,Home/Furniture
C00582,680,159,1,Low,Fashion
C00583,780,171,1,Low,Electronics
C00584,484,235,1,Low,Travel
C00585,607,1094,6,Low,Fashion
C00586,609,703,3,High,Travel
C00587,769,676,3,Low,Fashion
C00589,599,431,3,Low,Fashion
C00590,649,157,2,Low,Fashion
C00591,673,122,3,Low,Electronics
C00593,571,158,1,Low,Groceries/Essentials
C00594,538,0,0,Low,Fashion
C00595,665,161,1,Low,Home/Furniture
C00596,688,0,0,Low,Home/Furniture
C00597,752,339,2,Low,Electronics
C00598,629,469,3,Low,Groceries/Essentials
C00599,723,150,1,Low,Fashion
C00600,633,131,1,Low,Electronics
C00601,674,1116,6,High,Fashion
C00602,635,242,3,Low,Electronics
C00603,684,227,1,Low,Fashion
C00604,650,205,3,Low,Electronics
C00605,681,527,3,Low,Electronics
C00606,768,337,2,Low,Electronics
C00607,651,230,2,Low,Groceries/Essentials
C00608,680,138,1,Low,Travel
C00609,812,447,4,Low,Fashion
C00610,716,347,5,Low,Fashion
C00611,751,284,2,Low,Electronics
C00612,458,671,3,Medium,Fashion
C00613,768,76,2,Low,Travel
C00614,526,99,1,Low,Travel
C00615,696,77,1,Low,Electronics
C00616,710,353,2,Low,Electronics
C00617,617,562,3,Low,Electronics
C00618,776,475,3,Low,Fashion
C00619,678,360,2,Low,Fashion
C00620,612,447,3,Low,Fashion
C00621,600,581,5,Low,Fashion
C00622,544,311,3,Medium,Electronics
C00623,657,0,0,Low,Electronics
C00624,652,149,1,Low,Electronics
C00625,560,602,5,High,Electronics
C00626,633,729,4,Low,Fashion
C00627,780,140,1,Low,Fashion
C00628,603,0,0,Low,Travel
C00630,744,310,3,Low,Fashion
C00631,647,130,2,Low,Home/Furniture
C00632,659,292,5,Low,Travel
C00634,771,171,1,Low,Home/Furniture
C00635,544,646,5,Medium,Travel
C00636,678,583,5,Low,Fashion
C00637,576,160,1,Low,Fashion
C00639,579,327,2,Low,Electronics
C00640,681,1015,7,Low,Electronics
C00641,745,165,1,Low,Fashion
C00642,792,0,0,Low,Fashion
C00643,624,366,3,Low,Home/Furniture
C00644,702,200,1,Low,Electronics
C00645,681,205,1,Low,Electronics
C00646,781,414,3,Low,Electronics
C00648,589,1588,7,High,Fashion
C00649,619,641,4,Low,Electronics
C00651,692,545,3,Low,Fashion
C00652,703,1223,5,Low,Electronics
C00653,666,2140,9,Medium,Fashion
C00654,704,120,1,Low,Home/Furniture
C00655,712,95,2,Low,Electronics
C00656,638,80,1,Low,Fashion
C00657,709,518,7,Low,Fashion
C00658,542,99,1,Low,Electronics
C00659,588,0,0,Low,Electronics
C00660,636,207,3,Low,Electronics
C00661,705,352,2,Low,Fashion
C00662,516,666,4,High,Fashion
C00663,477,32,2,Medium,Electronics
C00664,732,274,2,Low,Electronics
C00665,692,575,4,Low,Electronics
C00666,749,149,1,Low,Fashion
C00667,721,1018,4,Low,Electronics
C00668,559,0,0,Low,Home/Furniture
C00669,535,126,1,Low,Home/Furniture
C00670,673,329,2,Low,Electronics
C00671,685,215,1,Low,Fashion
C00672,661,360,2,Low,Electronics
C00673,701,848,6,Low,Travel
C00674,746,95,1,Low,Home/Furniture
C00675,663,1630,9,Low,Fashion
C00676,697,170,1,Low,Travel
C00677,639,189,1,Low,Electronics
C00678,557,187,1,Low,Electronics
C00679,692,147,1,Low,Fashion
C00680,614,86,1,Low,Electronics
C00681,691,379,2,Low,Electronics
C00683,750,214,1,Low,Fashion
C00684,625,0,0,Low,Home/Furniture
C00685,563,151,1,Low,Travel
C00686,576,817,4,High,Fashion
C00687,577,0,0,Low,Home/Furniture
C00688,705,253,2,Low,Fashion
C00690,681,306,2,Low,Fashion
C00691,604,221,2,Low,Electronics
C00692,592,131,1,Low,Electronics
C00693,481,439,2,Low,Electronics
C00694,633,217,1,Low,Fashion
C00695,687,296,2,Low,Fashion
C00696,701,302,2,Low,Fashion
C00697,545,452,2,High,Fashion
C00698,534,336,2,Low,Electronics
C00699,687,443,3,Low,Fashion
C00700,617,467,3,Low,Electronics
C00701,790,951,7,Low,Home/Furniture
C00702,591,184,1,Low,Electronics
C00703,692,126,1,Low,Fashion
C00704,703,117,1,Low,Travel
C00706,657,477,3,Low,Fashion
C00707,745,760,4,Low,Fashion
C00708,495,229,2,High,Fashion
C00709,529,212,1,High,Fashion
C00710,652,187,1,Low,Electronics
C00711,714,241,2,Low,Electronics
C00712,720,394,2,Low,Fashion
C00714,678,472,3,Low,Fashion
C00716,486,89,1,Medium,Fashion
C00717,783,122,2,Low,Fashion
C00718,685,0,0,Low,Fashion
C00719,652,591,5,Low,Home/Furniture
C00720,690,179,1,Low,Home/Furniture
C00721,657,359,2,Low,Fashion
C00722,655,136,1,Low,Electronics
C00723,525,125,1,Low,Fashion
C00725,629,0,0,Low,Electronics
C00726,672,133,1,Low,Home/Furniture
C00727,730,154,1,Low,Electronics
C00728,830,222,1,Low,Fashion
C00729,691,151,1,Low,Fashion
C00730,619,545,3,Low,Fashion
C00731,637,1312,7,High,Fashion
C00732,656,964,6,Low,Travel
C00733,663,215,1,Low,Fashion
C00734,735,246,2,Low,Travel
C00735,685,1031,5,High,Fashion
C00736,827,682,4,Low,Fashion
C00737,654,186,2,Low,Home/Furniture
C00738,589,340,4,Low,Fashion
C00740,700,0,0,Low,Fashion
C00741,708,121,1,Low,Fashion
C00742,628,310,2,Low,Electronics
C00743,754,1055,5,Low,Electronics
C00744,696,157,1,Low,Fashion
C00745,681,935,6,Low,Home/Furniture
C00746,723,127,1,Low,Travel
C00747,766,0,0,Low,Electronics
C00748,585,569,4,Low,Travel
C00749,564,466,4,Medium,Electronics
C00750,607,155,3,Low,Home/Furniture
C00751,474,335,2,Medium,Fashion
C00752,603,461,3,Low,Fashion
C00753,586,598,3,Low,Groceries/Essentials
C00754,696,805,5,Low,Fashion
C00756,728,645,4,Low,Travel
C00757,692,157,1,Low,Fashion
C00758,696,276,2,Low,Fashion
C00759,699,663,3,Low,Fashion
C00760,740,230,2,Low,Home/Furniture
C00762,636,63,1,Low,Fashion
C00763,754,662,4,Low,Electronics
C00764,745,78,2,Low,Fashion
C00765,665,463,3,Low,Electronics
C00766,658,202,1,Low,Home/Furniture
C00767,844,468,3,Low,Fashion
C00768,683,601,3,Low,Fashion
C00769,731,284,2,Low,Electronics
C00770,566,100,1,Low,Groceries/Essentials
C00771,686,635,4,Medium,Electronics
C00772,618,336,3,Low,Fashion
C00773,664,1056,8,Low,Electronics
C00774,493,330,2,Low,Fashion
C00775,685,181,1,Low,Fashion
C00776,685,202,1,Low,Fashion
C00777,732,101,1,Low,Electronics
C00778,616,0,0,Low,Electronics
C00779,804,709,3,Low,Fashion
C00780,593,570,3,Low,Electronics
C00781,732,185,1,Low,Fashion
C00782,725,492,3,Low,Electronics
C00783,743,791,6,Low,Fashion
C00784,641,1086,5,Medium,Fashion
C00785,649,1076,5,Medium,Electronics
C00786,761,466,3,Low,Fashion
C00787,732,111,1,Low,Electronics
C00788,727,459,3,Low,Fashion
C00789,730,233,2,Low,Groceries/Essentials
C00790,589,156,1,Low,Electronics
